commodity,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beef and veal,Alabama,38.82493043359029,30.469775041002663,25.716631924494948,36.21605434667397,7.9924505051529,12.93453620574228,16.8404265116177,21.44934779839933,21.90674742329808,21.194051636168112,30.846288529148808,34.40926056943016,42.090061958514056,42.7548429596693,58.75575805767245,45.030692708428965,41.8517805964382,55.06946307143854,65.23442650701108,49.727251791862386
Pork,Alabama,4.477656045364396,3.9379588499408973,3.1854033157094244,2.9224089482949207,4.102786045309276,7.524299974208463,7.069933903162539,8.483092937492763,10.197267616495212,14.174732177899365,11.307972023229553,10.605375106405383,11.460135342222664,12.423672566067395,9.703680944301027,9.890893771592394,9.010501025541249,5.971763181340994,6.121165174064831,5.755170844638218
Hides and skins,Alabama,14.056541559759946,14.506433591879489,11.828138438922212,14.06097579062912,13.890404370438715,13.858093889068966,14.197600030878615,14.885872609209152,11.721351554911356,8.763655937837479,14.202905071125347,13.738062249557373,17.208056691918234,17.730171419186128,19.210731300799765,14.660353263850551,10.396604369837114,11.307517931381685,8.998616177543566,5.046504419187512
Other livestock products,Alabama,50.33181538997925,45.25244340170807,46.44612143939788,66.55724347741814,63.248843318711494,63.49369901768114,63.955106237097986,74.27720771232474,82.14744375428727,53.44439551258832,74.42728511312028,98.86193725740559,83.06709470658775,63.55519391028944,59.30255990322856,57.094708882138306,61.29772776321752,70.18107990124285,59.076096175026244,69.30937489912642
Dairy products,Alabama,2.3315395823182117,2.207726777202334,1.76855155401468,1.6560713127875542,2.3092488447795705,2.298808716936686,2.434208714368259,3.52346220298934,4.276636958465185,2.336812456149065,3.5543435315612024,4.057457877258089,3.851388302480866,4.583169026429366,4.316808651802983,2.8606752516158416,2.162572778064092,2.3460212659441733,1.8644919974325502,1.6051730293627913
Broiler meat,Alabama,185.73818604886384,216.8696770996149,166.20082462891452,180.65521003305264,205.07174042313224,244.41797383429974,212.42100540725949,308.11837100821447,407.28964706536414,380.1552420271585,367.91221594294746,424.0809852623265,472.9979226189998,491.1567934829868,477.84421503292845,346.9392889961338,314.90893683149733,347.24818352767744,343.04437032048406,345.72980982265295
Other poultry products,Alabama,27.48221421106421,30.782848161697594,29.56758690561109,30.742413270805073,30.6371204669443,41.660284748632286,41.482765210257924,41.7202375522859,41.24511507019756,49.979024803797046,52.47544478968961,60.071274537846044,62.877307823992695,72.78524088766409,69.36773055612872,45.73236591825472,59.977093137232025,61.688154236562674,59.04803079040763,66.27948015167141
"Vegetables, fresh",Alabama,3.706254753615341,3.33182241495883,2.8446756688773416,4.5164981840640985,4.109258293416339,3.5104066689760187,4.25887022996188,4.319035272922291,2.6346170538796123,2.7762032203263396,2.3239640702759563,2.5675271235018737,3.255150072836753,3.1274173074278786,3.2904086190885744,4.105951921745527,0.06915857532822996,0.10594481955448663,0.5772113439733766,0.0
"Vegetables, processed",Alabama,5.6401189735146025,5.0173503480059765,4.028564833844931,5.90265628761532,5.519134211928731,4.601984617004558,5.6062573368966255,5.927419674625153,4.2699698842413225,4.473183106593893,3.6190703596762486,4.166718404409939,6.107895148311485,5.623287757816172,6.267291778261932,7.84613688928814,0.13401886181326053,0.19887386381464695,0.9694933445129252,0.0
"Fruits, fresh",Alabama,2.2411209999708452,3.5196398095325008,3.827264850313954,2.679678810049014,2.9065567847956486,3.2424037850667937,2.8822606363263548,2.507926690480498,2.408008829366247,2.059323109113346,2.263163192116708,2.5162172404900462,2.2458135210650707,2.421104549747778,2.3635888581937574,2.8918550344178566,0.9445739313089,0.8655354510611245,0.0,0.0
"Fruits, processed",Alabama,2.058303079380704,3.094604752435714,3.373172032055882,2.3706713511057003,2.766419797873203,2.652346546399857,2.664679248279028,2.3874969582397623,2.21775929506899,1.821497906937511,2.009253436719733,2.3294786726287784,1.929339975584612,2.1472804905605782,2.1327259940153587,2.8342834947442515,0.8925477042889542,0.7548481097048528,0.0,0.0
Tree nuts,Alabama,8.841971889718739,5.701837134342723,1.9952469559862795,4.755862235488256,0.7431778466761001,2.8625723427300462,5.7550579458713935,7.315569013864998,8.811904055344966,14.418208706880069,6.38166750644073,24.03859686938385,4.0402450163343415,4.0479918440262015,2.2415281372872844,3.826985017678642,4.058711064369697,3.407359143772627,2.1148926576578573,0.0
Rice,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheat,Alabama,6.422141458521027,5.858036732457372,4.513560669545513,5.462560966695424,7.0815490625579045,4.429467843605316,5.65038913673491,11.38027611174136,50.22268393428681,22.692381993933875,15.92615569408338,60.5147478115491,40.94937248333897,82.31494054480339,65.65947653486036,43.875594365814706,35.930960476165794,27.524396315171696,23.490844939884127,22.710927242271186
Corn,Alabama,5.799447944434633,6.487402146067192,7.8799164765042535,9.893038594160368,13.491421489805386,9.421194803933794,8.810300743337503,16.925845352163673,27.58981489133551,24.18898551403749,27.024047559084316,33.465421217160156,25.542396123136808,20.488603765251508,37.042412161636726,26.234117485981642,28.64834363057118,27.960698950182113,41.44518875230713,26.055044802217985
Feeds and other feed grains,Alabama,6.008294999659053,7.038191060937362,6.580518580843897,8.212839197436464,8.900097543705682,9.769802713897821,8.049769876734484,11.870002437948944,16.371684290450006,16.91128953228797,19.64834214506701,19.708864528395935,23.86734533404278,32.47762952809766,40.390589257522585,39.202233068211726,30.05633779704551,31.14915264346607,34.79708326893911,30.24728245828691
"Grain products, processed",Alabama,2.7477807028807386,3.0458292705407306,3.21646207443578,4.223346205923204,5.068405323371919,5.60867646285466,4.997259855564803,6.778786683619063,8.945290338507132,10.210144197905057,9.746850260940052,11.528857273039394,13.569240533103814,17.81477695075775,19.596260791862022,17.456755435033212,15.184088395543744,14.720829747359543,15.83643746283944,13.887522498583026
